Name,ID,urlSlug,birthDate,disciplines
Faki MOHAMED,15108062,https://worldathletics.org/athletes/qatar/faki-mohamed-15108062,,Long Jump
Tameem AL TEMIMI,15039268,https://worldathletics.org/athletes/qatar/tameem-al-temimi-15039268,2006-08-01 00:00:00,"100 Metres, 200 Metres, 60 Metres"
Eltayeb ABDELGADIR,15140412,https://worldathletics.org/athletes/qatar/abdelgadir-eltayeb-15140412,2004-09-30 00:00:00,"High Jump, Long Jump"
Adam ABDULQADER,15157310,https://worldathletics.org/athletes/qatar/adam-abdulqader-15157310,,400 Metres
Mubarak Abdulla AL-NOUBI,15089243,https://worldathletics.org/athletes/qatar/mubarak-abdulla-al-noubi-15089243,2006-03-14 00:00:00,"60m Hurdles (91.4cm), 110m Hurdles (99.0cm), 110m Hurdles (91.4cm)"
Mohsin Faisal ABDELRAHIM,15140411,https://worldathletics.org/athletes/qatar/mohsin-faisal-abdelrahim-15140411,2007-06-29 00:00:00,Long Jump
Mohamed ALI NOFAL,15081820,https://worldathletics.org/athletes/qatar/mohamed-aly-noufal-15081820,2005-08-14 00:00:00,"Triple Jump, Long Jump"
Rizwan Ahmed HUSSAIN MANAR,15108004,https://worldathletics.org/athletes/qatar/rizwan-ahmed-hussain-manar-15108004,,Javelin Throw
Ahmed AL IMAM,14218988,https://worldathletics.org/athletes/qatar/ahmed-al-imam-014218988,1982,"800 Metres, 400 Metres, 4x400 Metres Relay"
Nasser Meziane BRAHIMI,14219026,https://worldathletics.org/athletes/qatar/nasser-meziane-brahimi-014219026,1984,"110m Hurdles (91.4cm), 110 Metres Hurdles, 60 Metres Hurdles"
Ibrahim HAMDAN,15086775,https://worldathletics.org/athletes/qatar/ibrahim-haydar-abdalla-15086775,2006-07-21 00:00:00,"4x800 Metres Relay Short Track, 800 Metres, 800 Metres Short Track"
Aboubakar HASSAN,15140413,https://worldathletics.org/athletes/qatar/aboubakar-hassan-15140413,2008-07-25 00:00:00,"High Jump, Long Jump"
Mohammed HASSAN,15091204,https://worldathletics.org/athletes/qatar/mohammed-hassan-15091204,,400 Metres
Abderrahman SAMBA,14752208,https://worldathletics.org/athletes/qatar/abderrahman-samba-14752208,1995-09-05 00:00:00,"400 Metres Hurdles, 400 Metres, 4x400 Metres Relay"
Abdrahman ABAKAR,15039162,https://worldathletics.org/athletes/qatar/mahamat-abakar-abdrahman-15039162,2006-04-17 00:00:00,"300 Metres Hurdles (84.0cm), 400 Metres Hurdles, 400m hurdles (84.0cm)"
Ahmad Hamdan Abou JALALA,14219051,https://worldathletics.org/athletes/qatar/ahmad-hamdan-abou-jalala-014219051,1982-12-24 00:00:00,"Javelin Throw, Javelin Throw (700g)"
Mohamed MUSSA,15135761,https://worldathletics.org/athletes/qatar/mohamed-mussa-15135761,,"400 Metres, 200 Metres"
Mohamed Ibrahim AL KHALIFA,14218991,https://worldathletics.org/athletes/qatar/mohamed-ibrahim-al-khalifa-014218991,1981-12-25 00:00:00,"Javelin Throw, Javelin Throw (700g)"
Bassem HEMEIDA,14827001,https://worldathletics.org/athletes/qatar/bassem-hemeida-14827001,2000-03-28 00:00:00,"400 Metres Hurdles, 400 Metres, 4x400 Metres Relay"
Samer Moosa HASSAN,15157303,https://worldathletics.org/athletes/qatar/samer-moosa-hassan-15157303,2008-05-01 00:00:00,"400 Metres Short Track, 200 Metres Short Track, 300 Metres Short Track"
Sami .,15157316,https://worldathletics.org/athletes/qatar/sami-15157316,,400 Metres
Nayef AL RASHIDI,14972122,https://worldathletics.org/athletes/qatar/nayef-mubarak-al-rashidi-14972122,2004-01-25 00:00:00,"110m Hurdles (91.4cm), 110m Hurdles (99.0cm), 100 Metres"
Femi OGUNODE,14330343,https://worldathletics.org/athletes/qatar/femi-ogunode-14330343,1991-05-15 00:00:00,"100 Metres, 200 Metres, 400 Metres"
Faki MAHAMAT,15091209,https://worldathletics.org/athletes/qatar/faki-mahamat-15091209,2006-04-15 00:00:00,"Triple Jump, Long Jump"
Zakaria AL ALHLAMI,14953831,https://worldathletics.org/athletes/qatar/zakaria-al-alhlami-14953831,2004-07-07 00:00:00,"1500 Metres, 800 Metres, 3000 Metres Steeplechase"
Yaser Salem BAGHARAB,14651434,https://worldathletics.org/athletes/qatar/yaser-salem-bagharab-14651434,1998-01-01 00:00:00,"3000 Metres Steeplechase, 5000 Metres, 1500 Metres"
Hamza DRIOUCH,14408590,https://worldathletics.org/athletes/qatar/hamza-driouch-014408590,1994-11-16 00:00:00,"1500 Metres, 800 Metres, 1500 Metres Short Track"
Asad HASSAN,14218968,https://worldathletics.org/athletes/qatar/ahmad-hassan-abdullah-014218968,1981-04-04 00:00:00,"10,000 Metres, 5000 Metres, 3000 Metres"
Hawari AHMED,14375309,https://worldathletics.org/athletes/qatar/mohamed-ahmed-al-mannai-014375309,1992-09-12 00:00:00,"Octathlon Boys, Long Jump, Decathlon"
Suleiman Abdisalan BARKAD,15105801,https://worldathletics.org/athletes/qatar/suleiman-abdisalan-barkad-15105801,2006-05-04 00:00:00,"1500 Metres, 3000 Metres"
Maizen ALI,15076373,https://worldathletics.org/athletes/qatar/maizen-ali-15076373,2005-12-13 00:00:00,"4x400 Metres Relay, 400 Metres, 200 Metres"
Mohammed MOHAMOUD,15147852,https://worldathletics.org/athletes/qatar/mohammed-mohamoud-15147852,2004-02-29 00:00:00,3000 Metres
Easa Hassan FADOL,14218968,https://worldathletics.org/athletes/qatar/ahmad-hassan-abdullah-014218968,1981-04-04 00:00:00,"10,000 Metres, 5000 Metres, 3000 Metres"
Mariam Mamdouh FARID,14760443,https://worldathletics.org/athletes/qatar/mariam-mamdouh-farid-014760443,1998-02-01 00:00:00,"400 Metres Hurdles, 400 Metres, 200 Metres"
Maaz Abdelrahman SHAGAG,14219102,https://worldathletics.org/athletes/qatar/maaz-abdelrahman-shagag-014219102,1991,"4x1500 Metres Relay, 3000 Metres Steeplechase, 1500 Metres"
Mohamoud MUSA,15157309,https://worldathletics.org/athletes/qatar/mohamoud-musa-15157309,,"400 Metres, 400 Metres Hurdles"
Achraf ELHARRAR,15147851,https://worldathletics.org/athletes/qatar/achraf-elharrar-15147851,2005,"1500 Metres, 3000 Metres"
Ahmed Ibrahim WARSAMA,14219121,https://worldathletics.org/athletes/qatar/ahmed-ibrahim-warsama-014219121,1966-02-04 00:00:00,"1500 Metres, 5000 Metres, 3000 Metres"
Ashraf ELSEIFY,14523902,https://worldathletics.org/athletes/qatar/ashraf-elseify-14523902,1995-02-20 00:00:00,"Hammer Throw (6kg), Hammer Throw, Hammer Throw (5kg)"
Seifeldin HENEIDA ABDESALAM,15039267,https://worldathletics.org/athletes/qatar/seifeldin-heneida-abdesalam-15039267,2005-03-28 00:00:00,Pole Vault
Mohamad ALGARNI,14373540,https://worldathletics.org/athletes/qatar/mohamad-algarni-14373540,1992-07-02 00:00:00,"1500 Metres Short Track, 1500 Metres, 800 Metres"
Mohammed ELALAMI,15147850,https://worldathletics.org/athletes/qatar/mohammed-elalami-15147850,2004-08-02 00:00:00,3000 Metres
Mohamed SULEIMAN,14219115,https://worldathletics.org/athletes/qatar/mohamed-suleiman-014219115,1969-11-23 00:00:00,"1500 Metres, 5000 Metres, One Mile"
Rabi Mohamoud MUBARAK,14793901,https://worldathletics.org/athletes/qatar/rabi-mohamoud-mubarak-014793901,2000-03-22 00:00:00,"800 Metres, 1500 Metres, 1500 Metres Short Track"
Ilyas AL-WALI,14910161,https://worldathletics.org/athletes/qatar/ilyas-al-wali-014910161,,"1500 Metres, 5000 Metres, 800 Metres"
Idris EZZALDIN,15148234,https://worldathletics.org/athletes/qatar/idris-ezzaldin-15148234,2005-06-22 00:00:00,1500 Metres
Abdinasir SALAD,15147853,https://worldathletics.org/athletes/qatar/abdinasir-salad-15147853,2004-05-09 00:00:00,3000 Metres
Abdelmadjid Mahamat MAHADJIR,14882925,https://worldathletics.org/athletes/qatar/abdelmadjid-mahamat-mahadjir-14882925,2003-11-21 00:00:00,"200 Metres, 400 Metres, 100 Metres"
Ahmed IHAB,15038566,https://worldathletics.org/athletes/qatar/ahmed-ihab-15038566,2006,Discus Throw (1.500kg)
Mahmoud MASOUD,14827989,https://worldathletics.org/athletes/qatar/mahmoud-masoud-014827989,1994-12-10 00:00:00,"Discus Throw, Shot Put"
Ysser Jamal MOHAMED,15091219,https://worldathletics.org/athletes/qatar/ysser-jamal-mohamed-15091219,2005,"600 Metres, 800 Metres"
Salman Mohamed MOHAMED,15081818,https://worldathletics.org/athletes/qatar/mohamed-salman-al-shaaeir-15081818,2009,Pole Vault
Ahmed Abdulah Jad Alsaeed ABDULLAH,15157319,https://worldathletics.org/athletes/qatar/ahmed-abdulah-jad-alsaeed-abdullah-15157319,,800 Metres
Farah IBRAHIM,14344027,https://worldathletics.org/athletes/qatar/farah-ibrahim-014344027,1974-08-22 00:00:00,"800 Metres, 4x400 Metres Relay"
Amer MOHAMED ALI,15006987,https://worldathletics.org/athletes/qatar/amer-mohamed-ali-15006987,2004,"60 Metres, 100 Metres"
Ismael Mohamed YOUSSEF,14353753,https://worldathletics.org/athletes/qatar/ismael-mohamed-youssef-014353753,1967-08-10 00:00:00,"800 Metres, 4x400 Metres Relay"
Abdul Aziz Nasser AL-RIYAMI,14219026,https://worldathletics.org/athletes/qatar/nasser-meziane-brahimi-014219026,1984,"110m Hurdles (91.4cm), 110 Metres Hurdles, 60 Metres Hurdles"
Badreldin HAYDAR ABDALLAH,15086773,https://worldathletics.org/athletes/qatar/badreldin-haydar-abdallah-15086773,2004-07-29 00:00:00,800 Metres
Adam Ali MUSAB,14478763,https://worldathletics.org/athletes/qatar/adam-ali-musab-14478763,1995-04-17 00:00:00,"1500 Metres, 800 Metres, 3000 Metres Steeplechase"
Ahmed Amgad EL SEIFY,14480232,https://worldathletics.org/athletes/qatar/ahmed-amgad-el-seify-14480232,1996-10-01 00:00:00,"Hammer Throw (5kg), Hammer Throw, Hammer Throw (6kg)"
Hayder AL-YASIRI,14936506,https://worldathletics.org/athletes/qatar/hayder-al-yasiri-014936506,2003-03-23 00:00:00,400 Metres
Ramzi AHMED SALEH,15081831,https://worldathletics.org/athletes/qatar/ramzi-ahmed-saleh-15081831,,"10,000 Metres Race Walk, 10,000 Metres"
Talal MANSOUR,14219066,https://worldathletics.org/athletes/qatar/talal-mansour-014219066,1964-05-08 00:00:00,"60 Metres, 100 Metres, 200 Metres"
Tosin OGUNODE,14628563,https://worldathletics.org/athletes/qatar/tosin-ogunode-14628563,1994-03-02 00:00:00,"60 Metres, 100 Metres, 200 Metres"
Ammar MAHMOUD AL-ABSI,15081825,https://worldathletics.org/athletes/qatar/ammar-mahmoud-al-absi-15081825,,"Hammer Throw (6kg), Hammer Throw"
Nayef Mubarak AL-RASHIDI,14972122,https://worldathletics.org/athletes/qatar/nayef-mubarak-al-rashidi-14972122,2004-01-25 00:00:00,"110m Hurdles (91.4cm), 110m Hurdles (99.0cm), 100 Metres"
Mohammed AL-YAFEE,15196727,https://worldathletics.org/athletes/qatar/mohammed-al-yafee-15196727,,"4x400 Metres Relay Short Track, 800 Metres Short Track, 400 Metres Short Track"
Mahmoud MOUSSA,14987972,https://worldathletics.org/athletes/qatar/mahmoud-moussa-14987972,,"400 Metres Hurdles, 110m Hurdles (91.4cm)"
Abdalla EL-KHAIR,15030861,https://worldathletics.org/athletes/qatar/abdalla-el-khair-15030861,,"800 Metres, 1500 Metres"
Khalil BEDOUI,14744993,https://worldathletics.org/athletes/qatar/khalil-bedoui-14744993,2000-06-03 00:00:00,"Hammer Throw (5kg), Hammer Throw, Hammer Throw (6kg)"
Abdussalam Mashood ABDULQADIR,15210626,https://worldathletics.org/athletes/qatar/abdussalam-mashood-abdulqadir-15210626,2005-10-06 00:00:00,60 Metres
Owaab BARROW,14758578,https://worldathletics.org/athletes/qatar/owaab-barrow-14758578,2001-08-20 00:00:00,"110m Hurdles (91.4cm), 100 Metres, 110m Hurdles (99.0cm)"
Obeid Bahir MOHAMED,14988606,https://worldathletics.org/athletes/qatar/obeid-bahir-mohamed-14988606,2003,800 Metres
Yasir MOHAMED,15095830,https://worldathletics.org/athletes/qatar/yasir-jamal-mohamed-15095830,2005-05-30 00:00:00,800 Metres
Mazen ABDALMAGED,15172895,https://worldathletics.org/athletes/qatar/mazen-abdalmaged-15172895,,400 Metres
Musaeb Abdulrahman BALLA,14411825,https://worldathletics.org/athletes/qatar/musaeb-abdulrahman-balla-014411825,1989-03-19 00:00:00,"800 Metres Short Track, 800 Metres, 1500 Metres"
Qatar,14761213,https://worldathletics.org/athletes/qatar/abdul-al-katar-014761213,2000,110m Hurdles (91.4cm)
Jamal HAIRANE,14493471,https://worldathletics.org/athletes/qatar/jamal-hairane-014493471,1993-05-26 00:00:00,"800 Metres, 1500 Metres, 800 Metres Short Track"
Sulaiman Mukhtar Ibrahim SULAMAN,14935163,https://worldathletics.org/athletes/qatar/sulaiman-mukhtar-ibrahim-sulaman-14935163,2004-07-16 00:00:00,"60 Metres, 100 Metres, 400 Metres"
Ismail Doudai ABAKAR,14973411,https://worldathletics.org/athletes/qatar/ismail-doudai-abakar-14973411,2004-01-01 00:00:00,"400 Metres Hurdles, 400 Metres, 4x400 Metres Relay"
Mohammed Mounir ABDALSLAM,15140409,https://worldathletics.org/athletes/qatar/mohammed-mounir-abdalslam-15140409,2003-11-06 00:00:00,"Long Jump, 100 Metres"
Mohammed Saeed ISMALIL EBADULLAH SAAD,15107916,https://worldathletics.org/athletes/qatar/mohammed-saeed-ismalil-ebadullah-saad-15107916,,High Jump
Mohamed Moussa ABDULRAHMAN,14218971,https://worldathletics.org/athletes/qatar/mohamed-moussa-abdulrahman-014218971,1985-10-28 00:00:00,"4x400 Metres Relay, 400 Metres"
Ammar AHMED,15030859,https://worldathletics.org/athletes/qatar/ammar-ahmed-15030859,2000,Long Jump
Wael HAIBA,15090609,https://worldathletics.org/athletes/qatar/wael-haiba-15090609,,800 Metres
Muhand Khamis SAIFELDIN,14714519,https://worldathletics.org/athletes/qatar/muhand-khamis-saifeldin-014714519,1999-01-13 00:00:00,"400 Metres Hurdles, 1500 Metres, 3000 Metres Steeplechase"
Basil BAKINIGBA,15198335,https://worldathletics.org/athletes/qatar/basil-bakinigba-15198335,2009-07-01 00:00:00,60 Metres
Ahmed Bader MAGOUR,14709346,https://worldathletics.org/athletes/qatar/ahmed-bader-magour-14709346,1996-03-03 00:00:00,Javelin Throw
Ahmed Kamal Ali Mahdi SABEEL,15157335,https://worldathletics.org/athletes/qatar/ahmed-kamal-ali-mahdi-sabeel-15157335,,Long Jump
Mohammed Naseeruddin ADBULMAJID ISMAIL GHARAFA,15107915,https://worldathletics.org/athletes/qatar/mohammed-naseeruddin-adbulmajid-ismail-gharafa-15107915,,High Jump
Suliman LATIF,14953421,https://worldathletics.org/athletes/qatar/suliman-latif-014953421,2004-01-28 00:00:00,100 Metres
Jassim Tiamiu JUMAAH,15154343,https://worldathletics.org/athletes/qatar/jassim-tiamiu-jumaah-15154343,2009-11-09 00:00:00,"60 Metres, 100 Metres, 200 Metres"
Saeed Othman ALABSI,14858573,https://worldathletics.org/athletes/qatar/saeed-othman-alabsi-14858573,2002-04-02 00:00:00,"110m Hurdles (99.0cm), 110 Metres Hurdles, 60 Metres Hurdles"
El Hafez MAHADI,14973856,https://worldathletics.org/athletes/qatar/el-hafez-mahadi-14973856,2002-10-17 00:00:00,"Distance Medley Relay Short Track, 800 Metres, 800 Metres Short Track"
Mahamat Bechir HASSAN ABDRAHMAN,15172147,https://worldathletics.org/athletes/qatar/mahamat-bechir-hassan-abdrahman-15172147,2008-06-13 00:00:00,High Jump
Mabrook SALEH NASSER,14219098,https://worldathletics.org/athletes/qatar/mabrook-saleh-nasser-014219098,1983-04-23 00:00:00,"20 Kilometres Race Walk, 10,000 Metres Race Walk, 10 Kilometres Race Walk"
Abdelgadir ELTAYEB,15140412,https://worldathletics.org/athletes/qatar/abdelgadir-eltayeb-15140412,2004-09-30 00:00:00,"High Jump, Long Jump"
Lazaro MARTINEZ,15136846,https://worldathletics.org/athletes/qatar/lazaro-martinez-15136846,2004-01-04 00:00:00,"60 Metres, 100 Metres, 200 Metres"
Mohamed EL ALAMI,14953834,https://worldathletics.org/athletes/qatar/mohamed-el-alami-14953834,2004-08-02 00:00:00,"1500 Metres, 5 Kilometres"
Jaber Ali R A AL-JALAHMA,15049540,https://worldathletics.org/athletes/qatar/jaber-ali-r-a-al-jalahma-15049540,2005-02-06 00:00:00,Long Jump
Ismail Mohamed HASSAN QASSIM,14546890,https://worldathletics.org/athletes/qatar/ismail-mohamed-hassan-qassim-014546890,,"Shot Put, Hammer Throw"
Bashair Obaid AL MANWARI,14666915,https://worldathletics.org/athletes/qatar/bashair-obaid-al-manwari-14666915,1997-03-13 00:00:00,"4x100 Metres Relay, Long Jump, 100 Metres"
Abdelaziz MOHAMED,14847154,https://worldathletics.org/athletes/qatar/abdelaziz-mohamed-014847154,2001-10-20 00:00:00,"200 Metres, 100 Metres, 4x100 Metres Relay"
Mohamed NAsreldin Abdulmajid ISMAIL,15157337,https://worldathletics.org/athletes/qatar/mohamed-nasreldin-abdulmajid-ismail-15157337,2005,High Jump
Hamza SOUSSI,14884239,https://worldathletics.org/athletes/qatar/hamza-soussi-014884239,2002-04-28 00:00:00,"Shot Put (5kg), Shot Put (6kg), Shot Put"
Mohamed Saeed Mahmoud Makki MAHMOUD,15157334,https://worldathletics.org/athletes/qatar/mohamed-saeed-mahmoud-makki-mahmoud-15157334,,Shot Put
Jassim JUMAAH,15154343,https://worldathletics.org/athletes/qatar/jassim-tiamiu-jumaah-15154343,2009-11-09 00:00:00,"60 Metres, 100 Metres, 200 Metres"
Abdeilmajid ZAKARIA,14953419,https://worldathletics.org/athletes/qatar/abdeilmajid-zakaria-14953419,2003-11-21 00:00:00,"4x400 Metres Relay, 100 Metres, 400 Metres"
Mohamed AL-YAFAEE,15030863,https://worldathletics.org/athletes/qatar/mohamed-al-yafaee-15030863,,"800 Metres, 4x400 Metres Relay, 1000 Metres Short Track"
Ibrahim Gassan RAKINAN,15210628,https://worldathletics.org/athletes/qatar/ibrahim-gassan-rakinan-15210628,2007-10-24 00:00:00,High Jump
Ali Sami HASSAN,15140389,https://worldathletics.org/athletes/qatar/ali-sami-hassan-15140389,2007-05-23 00:00:00,"100 Metres, 200 Metres, Decathlon Boys"
Haidar Islam KHOUCHA,15210627,https://worldathletics.org/athletes/qatar/haidar-islam-khoucha-15210627,2007-07-22 00:00:00,High Jump
Ismail BABAKER,14953420,https://worldathletics.org/athletes/qatar/ismail-babaker-014953420,2004,400 Metres
Sarour Ahmad BAROUD,14218968,https://worldathletics.org/athletes/qatar/ahmad-hassan-abdullah-014218968,1981-04-04 00:00:00,"10,000 Metres, 5000 Metres, 3000 Metres"
Cecil DOSOO,15065944,https://worldathletics.org/athletes/qatar/cecil-dosoo-15065944,,Long Jump
Abdullah AL-HAWALI,15091216,https://worldathletics.org/athletes/qatar/abdullah-al-hawali-15091216,2007,1500 Metres
Mohammed Ghan AL-KUWARI,15069571,https://worldathletics.org/athletes/qatar/mohammed-ghan-al-kuwari-15069571,2007-03-02 00:00:00,"100 Metres, 60 Metres"
Abdellah SALECK,15091207,https://worldathletics.org/athletes/qatar/abdellah-saleck-15091207,1997,"200 Metres, 100 Metres"
Ahmed KHATER,15086776,https://worldathletics.org/athletes/qatar/ahmed-khater-15086776,2005,"150 Metres, 200 Metres"
Louie LOUIE,15187623,https://worldathletics.org/athletes/qatar/louie-louie-15187623,2008,"Long Jump, Triple Jump"
Suleiman Mukhtar IBRAHIM,14935163,https://worldathletics.org/athletes/qatar/sulaiman-mukhtar-ibrahim-sulaman-14935163,2004-07-16 00:00:00,"60 Metres, 100 Metres, 400 Metres"
Salah HAMAD,14953829,https://worldathletics.org/athletes/qatar/salah-hamad-014953829,2004-09-09 00:00:00,800 Metres
Mohamed Nasir ABBAS,14594797,https://worldathletics.org/athletes/qatar/mohamed-nasir-abbas-14594797,1996-01-01 00:00:00,"4x400 Metres Relay, 400 Metres, 800 Metres"
Imrane EL BOUZAGAOUI,14953830,https://worldathletics.org/athletes/qatar/imrane-el-bouzagaoui-14953830,2005-04-06 00:00:00,"800 Metres, 400 Metres, 4x400 Metres Relay"
Abdullah Othman MASOUD,15140388,https://worldathletics.org/athletes/qatar/abdullah-othman-masoud-15140388,2006-12-22 00:00:00,"60 Metres, 100 Metres, Decathlon U20"
Motazz BELAHBIB,15187622,https://worldathletics.org/athletes/qatar/motazz-belahbib-15187622,2008,Long Jump
Salah Nur Ismail YUNIS,15135764,https://worldathletics.org/athletes/qatar/salah-nur-ismail-yunis-15135764,2006-01-10 00:00:00,"200 Metres, 100 Metres"
Abubaker Haydar ABDALLA,14581680,https://worldathletics.org/athletes/qatar/abubaker-haydar-abdalla-14581680,1996-08-28 00:00:00,"800 Metres, 1500 Metres, 4x400 Metres Relay"
Mustafa FATHI,15091220,https://worldathletics.org/athletes/qatar/mustafa-fathi-15091220,2007,"600 Metres, 800 Metres"
Omer Ali SHANAN,15210629,https://worldathletics.org/athletes/qatar/omer-ali-shanan-15210629,2003-10-29 00:00:00,Pole Vault
Mahamat Abakar ABDRAHMAN,15039162,https://worldathletics.org/athletes/qatar/mahamat-abakar-abdrahman-15039162,2006-04-17 00:00:00,"300 Metres Hurdles (84.0cm), 400 Metres Hurdles, 400m hurdles (84.0cm)"
Abdalelah HAROUN,14686631,https://worldathletics.org/athletes/qatar/abdalelah-haroun-014686631,1997-01-01 00:00:00,"400 Metres, 400 Metres Short Track, 4x400 Metres Relay"
Vehd SALECK,15091208,https://worldathletics.org/athletes/qatar/vehd-saleck-15091208,1999,400 Metres
Zakaria ABDULLAH IBRAHIM,15177780,https://worldathletics.org/athletes/qatar/zakaria-abdullah-ibrahim-15177780,2007-02-05 00:00:00,Pole Vault
Omar SHERIF,14827984,https://worldathletics.org/athletes/qatar/omar-sherif-014827984,1999-11-01 00:00:00,"Shot Put (6kg), Shot Put, Discus Throw (1.750kg)"
Jabar KHAMIS,15137193,https://worldathletics.org/athletes/qatar/jabar-khamis-15137193,2007-10-04 00:00:00,"100 Metres, 200 Metres"
Saeed AL SAHOTI,14953416,https://worldathletics.org/athletes/qatar/saeed-al-sahoti-14953416,2004-10-04 00:00:00,"4x100 Metres Relay, 100 Metres, 110m Hurdles (91.4cm)"
Qais Mohammed MOHAMMED,15210630,https://worldathletics.org/athletes/qatar/qais-mohammed-mohammed-15210630,2011-01-21 00:00:00,Pole Vault
Hamad Khalifa AL-ABDULLAH,14858572,https://worldathletics.org/athletes/qatar/hamad-khalifa-al-abdullah-14858572,2002-08-05 00:00:00,"110m Hurdles (91.4cm), 100 Metres"
Mohamed SALMAN AL-SHAAEIR,15081818,https://worldathletics.org/athletes/qatar/mohamed-salman-al-shaaeir-15081818,2009,Pole Vault
