Name,ID,urlSlug,birthDate,disciplines
Sultan Abdulla AL-NOUBI,15089243,https://worldathletics.org/athletes/qatar/mubarak-abdulla-al-noubi-15089243,2006-03-14 00:00:00,"60m Hurdles (91.4cm), 110m Hurdles (99.0cm), 110m Hurdles (91.4cm)"
Elbraa Hossam Salaheldin HASSAN,15140390,https://worldathletics.org/athletes/qatar/elbraa-hossam-salaheldin-hassan-15140390,2007-01-06 00:00:00,"110m Hurdles (91.4cm), 400 Metres, Decathlon Boys"
Mohamed ALY NOUFAL,15081820,https://worldathletics.org/athletes/qatar/mohamed-aly-noufal-15081820,2005-08-14 00:00:00,"Triple Jump, Long Jump"
Hassan Firas ALFAYSALI,15143618,https://worldathletics.org/athletes/qatar/hassan-firas-alfaysali-15143618,2007-06-16 00:00:00,"200 Metres, 100 Metres"
Zead Hazem ABDELSALAM,15143620,https://worldathletics.org/athletes/qatar/zead-hazem-abdelsalam-15143620,2007-06-07 00:00:00,110m Hurdles (91.4cm)
Mohammed Bader AL-ALI,14886717,https://worldathletics.org/athletes/qatar/mohammed-bader-al-ali-014886717,2003,"200 Metres, 100 Metres"
Aboubakar IDRISS,15154344,https://worldathletics.org/athletes/qatar/aboubakar-idriss-15154344,2009-09-15 00:00:00,"60m Hurdles (91.4cm), 110m Hurdles (91.4cm), 100 Metres"
Mohammed AL RAEI,14896716,https://worldathletics.org/athletes/qatar/mohammed-al-raei-014896716,2001,100 Metres
Mohamed DJIBRIL A,15210633,https://worldathletics.org/athletes/qatar/mohamed-djibril-a-15210633,2003-05-13 00:00:00,Triple Jump
Souleymane FOULATA,15147855,https://worldathletics.org/athletes/qatar/souleymane-foulata-15147855,2006-10-16 00:00:00,110m Hurdles (99.0cm)
Mohamed LAMA SALEH,15108045,https://worldathletics.org/athletes/qatar/mohamed-lama-saleh-15108045,,100 Metres
Adolfo ALVAREZ,15147854,https://worldathletics.org/athletes/qatar/adolfo-alvarez-15147854,2007-07-25 00:00:00,"60m Hurdles (99.0cm), 110m Hurdles (91.4cm), 110m Hurdles (99.0cm)"
Idriss Moussa YOUSSOUF,14594979,https://worldathletics.org/athletes/qatar/idriss-moussa-youssouf-014594979,1997-01-01 00:00:00,"1500 Metres, 800 Metres, 5000 Metres"
Kitchi ABOUHOUREIRA,15140393,https://worldathletics.org/athletes/qatar/kitchi-abouhoureira-15140393,2007-03-07 00:00:00,"400 Metres, 100 Metres"
Yordan Luis MACEO VILAN,15203988,https://worldathletics.org/athletes/qatar/yordan-luis-maceo-vilan-15203988,,Triple Jump
Mahamat Abakar HISSEIN,15136845,https://worldathletics.org/athletes/qatar/mahamat-abakar-hissein-15136845,2008-02-28 00:00:00,110m Hurdles (91.4cm)
Yousuf Ossam ABDULGHAFFAR HAMID WAKRA,15107911,https://worldathletics.org/athletes/qatar/yousuf-ossam-abdulghaffar-hamid-wakra-15107911,,100 Metres
Bashir Mohamed MOHAMED,15210632,https://worldathletics.org/athletes/qatar/bashir-mohamed-mohamed-15210632,1995-12-30 00:00:00,Triple Jump
Abdelrahman Moham KAMEL,15091186,https://worldathletics.org/athletes/qatar/abdelrahman-moham-kamel-15091186,2008-06-07 00:00:00,"60m Hurdles (91.4cm), 110m Hurdles (91.4cm), 100 Metres"
Amer MUHAMMAD ALI,15136847,https://worldathletics.org/athletes/qatar/amer-muhammad-ali-15136847,2004-04-21 00:00:00,"100 Metres, 200 Metres"
Khalid KABOOR TAWFI,15108044,https://worldathletics.org/athletes/qatar/khalid-kaboor-tawfi-15108044,,100 Metres
Heriberto ALFONSO PLANCHE,15210631,https://worldathletics.org/athletes/qatar/heriberto-alfonso-planche-15210631,2006-11-23 00:00:00,Triple Jump
Khalifa MADHINI KUMAR,15081813,https://worldathletics.org/athletes/qatar/khalifa-madhini-kumar-15081813,2005-12-31 00:00:00,110m Hurdles (99.0cm)
Saleh Badr AL-SAHOTI,15091200,https://worldathletics.org/athletes/qatar/saleh-badr-al-sahoti-15091200,2009-10-14 00:00:00,"60m Hurdles (91.4cm), 60 Metres"
Ayad Abdulrahman KAMAL MASILINI AHLI,14219053,https://worldathletics.org/athletes/qatar/abubaker-ali-kamal-014219053,1983-11-08 00:00:00,"4x800 Metres Relay, 1500 Metres, 3000 Metres Steeplechase"
Mohammed AL RADEI,14896718,https://worldathletics.org/athletes/qatar/mohammed-al-radei-014896718,,800 Metres
Jaber Hilal AL MAMARI,14761212,https://worldathletics.org/athletes/qatar/jaber-hilal-al-mamari-014761212,2001-08-15 00:00:00,"4x100 Metres Relay, 100 Metres, 200 Metres"
Dana Noor SALEM,15210621,https://worldathletics.org/athletes/qatar/dana-noor-salem-15210621,2009-10-07 00:00:00,60 Metres
Adam ABDALLAH,15134012,https://worldathletics.org/athletes/qatar/absakine-adam-abdallah-15134012,2006-01-26 00:00:00,"400 Metres, 110m Hurdles (99.0cm), 200 Metres"
Mohammed Bilal ALHARASI,15091203,https://worldathletics.org/athletes/qatar/mohammed-bilal-alharasi-15091203,2009-01-29 00:00:00,High Jump
Abdulqadir FAISAL MASOUD AL ALWANI,15108053,https://worldathletics.org/athletes/qatar/abdulqadir-faisal-masoud-al-alwani-15108053,,3000 Metres Steeplechase
Achmed RAHMATAALAH,14896720,https://worldathletics.org/athletes/qatar/achmed-rahmataalah-014896720,,800 Metres
Bakhita Jamal Saber MARISIO,15210623,https://worldathletics.org/athletes/qatar/bakhita-jamal-saber-marisio-15210623,2006-09-04 00:00:00,60 Metres
Mohammad SHEHADAT,15143621,https://worldathletics.org/athletes/qatar/mohammad-shehadat-15143621,2007-02-24 00:00:00,110m Hurdles (91.4cm)
Hamad HASSAN,15158845,https://worldathletics.org/athletes/qatar/hamad-hassan-15158845,2004-03-14 00:00:00,110m Hurdles (99.0cm)
Mohammed Hussain MAHMOUD SAAD,15108055,https://worldathletics.org/athletes/qatar/mohammed-hussain-mahmoudsaad-15108055,,3000 Metres Steeplechase
Mohamed BAJAH,14896721,https://worldathletics.org/athletes/qatar/mohamed-bajah-014896721,,800 Metres
Mashaal ALI,15086777,https://worldathletics.org/athletes/qatar/mashaal-ali-15086777,2007,Pole Vault
Naima Agnes KHAMIS,15210618,https://worldathletics.org/athletes/qatar/naima-agnes-khamis-15210618,2006-06-03 00:00:00,60 Metres
Alnour Mostafa AHMED,15076372,https://worldathletics.org/athletes/qatar/alnour-mostafa-ahmed-15076372,2005-07-05 00:00:00,400 Metres
Azaruddin HASSAN JAMA IDREES,15108054,https://worldathletics.org/athletes/qatar/azaruddin-hassan-jama-idrees-15108054,,3000 Metres Steeplechase
Kenza SOSSE,14893167,https://worldathletics.org/athletes/qatar/kenza-sosse-014893167,1999-11-10 00:00:00,"400 Metres Hurdles, 400 Metres, High Jump"
Ali MOHAMMED,14886717,https://worldathletics.org/athletes/qatar/mohammed-bader-al-ali-014886717,2003,"200 Metres, 100 Metres"
Yoao PUENTES,15135759,https://worldathletics.org/athletes/qatar/yoao-puentes-15135759,2002-02-28 00:00:00,"400 Metres, 300 Metres"
Osama MOHAMED,15143636,https://worldathletics.org/athletes/qatar/osama-mohamed-15143636,2007-10-24 00:00:00,"400 Metres, 200 Metres, 60 Metres"
Alexandra HUDACEKOVA,15205939,https://worldathletics.org/athletes/qatar/alexandra-hudacekova-15205939,2010-05-15 00:00:00,60 Metres
Celine Adwoa Konadu ACHEAMPONG,15210624,https://worldathletics.org/athletes/qatar/celine-adwoa-konadu-acheampong-15210624,2010-06-21 00:00:00,60 Metres
Abdul Aziz SALEM,14846312,https://worldathletics.org/athletes/qatar/abdul-aziz-salem-014846312,2001-10-20 00:00:00,"400 Metres, 100 Metres"
Abdulrahman MOHAMED ABUBAKER,15108051,https://worldathletics.org/athletes/qatar/abdulrahman-mohamed-abubaker-15108051,,400 Metres Hurdles
Abderrahmane HOUAM,15090431,https://worldathletics.org/athletes/qatar/abderrahmane-houam-15090431,2007-04-25 00:00:00,"3000 Metres, 1500 Metres, 2000 Metres Steeplechase (84cm)"
Abdelghafour HOUAM,15090430,https://worldathletics.org/athletes/qatar/abdelghafour-houam-15090430,2007-04-25 00:00:00,"1500 Metres, 2000 Metres Steeplechase (84cm), 3000 Metres"
Abdelmageed DAGGU,15029272,https://worldathletics.org/athletes/qatar/abdelmageed-daggu-15029272,1998,"400 Metres, 60 Metres, 100 Metres"
Sameer Mohamed AHMED AL YAFEI RAYYAN,15108023,https://worldathletics.org/athletes/qatar/sameer-mohamed-ahmed-al-yafei-rayyan-15108023,,800 Metres
Mohamed Ahmed AL MANNAI,14375309,https://worldathletics.org/athletes/qatar/mohamed-ahmed-al-mannai-014375309,1992-09-12 00:00:00,"Octathlon Boys, Long Jump, Decathlon"
Marley Cheyenne MORRIS,15210617,https://worldathletics.org/athletes/qatar/marley-cheyenne-morris-15210617,2008-04-08 00:00:00,60 Metres
Ashraf EL HARRAR,15081811,https://worldathletics.org/athletes/qatar/ashraf-el-harrar-15081811,2005,1500 Metres
Ahmad AL HAJ,14805955,https://worldathletics.org/athletes/qatar/ahmad-al-haj-014805955,2001-08-20 00:00:00,"Discus Throw (1.500kg), Discus Throw (1.750kg), Discus Throw"
Abdulla Tarek ALY,14886772,https://worldathletics.org/athletes/qatar/abdulla-tarek-aly-014886772,2002-12-10 00:00:00,"Hammer Throw (6kg), Hammer Throw (5kg), Shot Put (6kg)"
Asim BKHIT,15158848,https://worldathletics.org/athletes/qatar/asim-bkhit-15158848,1998,400 Metres
Rania ALNAJI,14817908,https://worldathletics.org/athletes/qatar/rania-alnaji-014817908,2000-08-29 00:00:00,"Hammer Throw, Hammer Throw (3kg)"
Muafak ABDULMINAEM FAKI AL KAZI ARABI,15108022,https://worldathletics.org/athletes/qatar/muafak-abdulminaem-faki-al-kaziarabi-15108022,,800 Metres
Noa MUNOZ SANCHEZ,15210616,https://worldathletics.org/athletes/qatar/noa-munoz-sanchez-15210616,2008-10-25 00:00:00,60 Metres
Kamal TALIB,15140398,https://worldathletics.org/athletes/qatar/kamal-talib-15140398,2008-06-15 00:00:00,"800 Metres, 1500 Metres"
Oussama ELHARISSE,15143632,https://worldathletics.org/athletes/qatar/oussama-elharisse-15143632,2007,"800 Metres, 1500 Metres"
Said ADEN,14721107,https://worldathletics.org/athletes/qatar/said-aden-014721107,1993,"1500 Metres Short Track, 800 Metres, 1500 Metres"
Zienat ATIF,14219103,https://worldathletics.org/athletes/qatar/saif-saaeed-shaheen-014219103,1982-10-15 00:00:00,"3000 Metres Steeplechase, 1500 Metres, 5000 Metres"
Souleyman SEKOU,15080916,https://worldathletics.org/athletes/qatar/souleyman-sekou-15080916,2006-10-16 00:00:00,"110m Hurdles (91.4cm), 100 Metres, Decathlon U20"
Hussain MAMOON HABOU AHLI,15108049,https://worldathletics.org/athletes/qatar/hussain-mamoon-habou-ahli-15108049,2004-08-04 00:00:00,"400 Metres, 200 Metres"
Awatif Sabah ABDULRAHMAN,15210622,https://worldathletics.org/athletes/qatar/awatif-sabah-abdulrahman-15210622,2007-08-18 00:00:00,60 Metres
Jamal Bilal SALEM,14219099,https://worldathletics.org/athletes/qatar/jamal-bilal-salem-014219099,1978-09-12 00:00:00,"3000 Metres, 3000 Metres Steeplechase, 5000 Metres"
Wail ALLOU,15140399,https://worldathletics.org/athletes/qatar/wail-allou-15140399,2007-06-20 00:00:00,1500 Metres
Abdenour ESSALEHY,15140400,https://worldathletics.org/athletes/qatar/abdenour-essalehy-15140400,2008-06-30 00:00:00,1500 Metres
Samer Ismail ISMAIL,15158847,https://worldathletics.org/athletes/qatar/samer-ismail-ismail-15158847,2008-07-06 00:00:00,800 Metres
Mohamed EL NOUR,14579995,https://worldathletics.org/athletes/qatar/mohamed-el-nour-014579995,1996-03-18 00:00:00,"4x400 Metres Relay, 400 Metres, 800 Metres"
Abdelghafor KABBAD,15143634,https://worldathletics.org/athletes/qatar/abdelghafor-kabbad-15143634,2008-03-16 00:00:00,"2000 Metres Steeplechase, 3000 Metres Steeplechase, 800 Metres"
Ali Thamer KAMAL,14219054,https://worldathletics.org/athletes/qatar/ali-thamer-kamal-014219054,1988-11-12 00:00:00,"2000 Metres Steeplechase, 3000 Metres Steeplechase, 1500 Metres"
Fawziyah Afoke MANSOOR,15210620,https://worldathletics.org/athletes/qatar/fawziyah-afoke-mansoor-15210620,2001-07-04 00:00:00,60 Metres
Abdulrahman MOHAMED OBRAHIM ABSI,15081826,https://worldathletics.org/athletes/qatar/abdulrahman-mohamed-obrahim-absi-15081826,,"Hammer Throw, Hammer Throw (6kg)"
Mufid MOHAMMED,15143635,https://worldathletics.org/athletes/qatar/mufid-mohammed-15143635,2006-07-17 00:00:00,2000 Metres Steeplechase
Ahmed Faisal SULEIMAN MOHAMED,14793669,https://worldathletics.org/athletes/qatar/ahmed-faisal-suleiman-mohamed-014793669,1999-01-20 00:00:00,"Triple Jump, Long Jump"
Othmane DANI,14953832,https://worldathletics.org/athletes/qatar/othmane-dani-14953832,2004-06-06 00:00:00,"1500 Metres, 800 Metres, 1500 Metres Short Track"
Rashid Ahmed AL MANNAI,14218999,https://worldathletics.org/athletes/qatar/rashid-ahmed-al-mannai-014218999,1988-06-18 00:00:00,"High Jump, Triple Jump, 200 Metres Short Track"
Yasir Jamal MOHAMED,15095830,https://worldathletics.org/athletes/qatar/yasir-jamal-mohamed-15095830,2005-05-30 00:00:00,800 Metres
Sara Shams ALI,15210619,https://worldathletics.org/athletes/qatar/sara-shams-ali-15210619,2005-11-05 00:00:00,60 Metres
Hicham TARFAOUI,15140397,https://worldathletics.org/athletes/qatar/hicham-tarfaoui-15140397,2008-02-15 00:00:00,800 Metres
Moaz Muhamed SABER,14758678,https://worldathletics.org/athletes/qatar/moaz-muhamed-saber-014758678,1999,"Discus Throw (1.500kg), Discus Throw (1.750kg), Shot Put (6kg)"
Muayad Mohd AHMED,14375497,https://worldathletics.org/athletes/qatar/muayad-mohd-ahmed-014375497,1993-06-12 00:00:00,"800 Metres, 800 Metres Short Track"
Dawoud Ismail IBRAHIM ARMADI SAAD,15108050,https://worldathletics.org/athletes/qatar/dawoud-ismail-ibrahim-armadi-saad-15108050,2006,"400 Metres, 800 Metres"
Khala Ngare MAHAMAT,15203982,https://worldathletics.org/athletes/qatar/khala-ngare-mahamat-15203982,,"400 Metres, 400 Metres Hurdles"
Mustafa BASHIR,15090610,https://worldathletics.org/athletes/qatar/mustafa-bashir-15090610,2007-12-06 00:00:00,800 Metres
Mohamed Khamis SAIFELDIN,14791049,https://worldathletics.org/athletes/qatar/mohamed-khamis-saifeldin-014791049,1999-01-13 00:00:00,"800 Metres, 1500 Metres, 800 Metres Short Track"
Jasim Majid GUM ADEKDEK,15203981,https://worldathletics.org/athletes/qatar/jasim-majid-gum-adekdek-15203981,,400 Metres
Abubakr Omer MADEBO,14219062,https://worldathletics.org/athletes/qatar/abubakr-omer-madebo-014219062,1992,"800 Metres, 400 Metres, Medley Relay"
Tamet RAMADAN,15158846,https://worldathletics.org/athletes/qatar/tamet-ramadan-15158846,2007,800 Metres
Mubarik Abdi SAID,15140395,https://worldathletics.org/athletes/qatar/mubarik-abdi-said-15140395,2008-05-02 00:00:00,800 Metres
Hassane RAMADAN,15203977,https://worldathletics.org/athletes/qatar/hassane-ramadan-15203977,,"400 Metres Hurdles, 400 Metres"
Musa Abdalla ALI ABDELGADIR,15203984,https://worldathletics.org/athletes/qatar/musa-abdalla-ali-abdelgadir-15203984,,High Jump
Abdul Rahman AL‐KHATER,14817675,https://worldathletics.org/athletes/qatar/abdul-rahman-alkhater-014817675,2000-06-25 00:00:00,"100 Metres, 200 Metres"
Hamza SAIFI,15091214,https://worldathletics.org/athletes/qatar/hamza-saifi-15091214,2007-04-17 00:00:00,"1500 Metres, 800 Metres, 1000 Metres"
Youssef EL MALYANI,15091213,https://worldathletics.org/athletes/qatar/youssef-el-malyani-15091213,2006-05-08 00:00:00,"1000 Metres, 800 Metres, 1500 Metres"
Mohammad A. M. ALMUGHANNI,15203985,https://worldathletics.org/athletes/qatar/mohammad-a-m-almughanni-15203985,,High Jump
Sultan Khamis ZAMAN,14219130,https://worldathletics.org/athletes/qatar/sultan-khamis-zaman-14219130,1985-07-23 00:00:00,"5000 Metres, 3000 Metres, 1500 Metres"
Mohd Waleed AL JASSIM,14375435,https://worldathletics.org/athletes/qatar/mohd-waleed-al-jassim-014375435,1992-10-26 00:00:00,"Medley Relay, 100 Metres"
Muwafaq AL-GADI,15086774,https://worldathletics.org/athletes/qatar/muwafaq-al-gadi-15086774,2007-05-17 00:00:00,800 Metres
Mohamed IBRAHIM KAIDA,14445114,https://worldathletics.org/athletes/qatar/mohamed-ibrahim-kaida-014445114,1992-03-21 00:00:00,"Javelin Throw, Javelin Throw (700g)"
Mohamed Adel ELTOUM,15187624,https://worldathletics.org/athletes/qatar/mohamed-adel-eltoum-15187624,2009,Long Jump
Djibrine Adoum AHMAT,15007014,https://worldathletics.org/athletes/qatar/djibrine-adoum-ahmat-15007014,2005-04-15 00:00:00,"Discus Throw (1.750kg), Shot Put (6kg), Discus Throw"
Saoud AL HUMAIDI,14755979,https://worldathletics.org/athletes/qatar/saoud-al-humaidi-014755979,2000-06-21 00:00:00,"110m Hurdles (91.4cm), 200 Metres, 110m Hurdles (99.0cm)"
Mohamed Badr OSMAN,15143626,https://worldathletics.org/athletes/qatar/mohamed-badr-osman-15143626,2008-05-03 00:00:00,800 Metres
Ahmed Mohamed DHEEB,14219001,https://worldathletics.org/athletes/qatar/ahmed-mohamed-dheeb-014219001,1985-09-29 00:00:00,"Discus Throw, Shot Put"
Idriss Djibren MAHAMAT ABDEI,15203983,https://worldathletics.org/athletes/qatar/idriss-djibren-mahamat-abdei-15203983,,400 Metres
Thamir Nasser THANI,14330022,https://worldathletics.org/athletes/qatar/thamir-nasser-thani-014330022,1989-05-19 00:00:00,"100 Metres, 60 Metres, 200 Metres"
Musa Amer OBAID,14219084,https://worldathletics.org/athletes/qatar/musa-amer-obaid-014219084,1985-04-18 00:00:00,"3000 Metres Steeplechase, 3000 Metres, 10,000 Metres"
Daham Najim BASHIR,14219024,https://worldathletics.org/athletes/qatar/daham-najim-bashir-014219024,1979-11-08 00:00:00,"1500 Metres, 3000 Metres, 1500 Metres Short Track"
Muamer Aissa BARSHAM,14479998,https://worldathletics.org/athletes/qatar/muamer-aissa-barsham-014479998,1994-01-03 00:00:00,High Jump
Ehab Ahmed DHEEB MOHAMED,14219001,https://worldathletics.org/athletes/qatar/ahmed-mohamed-dheeb-014219001,1985-09-29 00:00:00,"Discus Throw, Shot Put"
Mahamat GUEME,15027462,https://worldathletics.org/athletes/qatar/mahamat-gueme-15027462,2007-03-17 00:00:00,"Discus Throw (1.500kg), Discus Throw (1.750kg)"
Adoum Abdoulaye AHMAD,15187625,https://worldathletics.org/athletes/qatar/adoum-abdoulaye-ahmad-15187625,2008,Long Jump
Nasser Jamal NASSER,14219082,https://worldathletics.org/athletes/qatar/nasser-jamal-nasser-014219082,1988-11-19 00:00:00,"10,000 Metres, 5000 Metres, 3000 Metres"
Hashim Mohamed SALAH,14423995,https://worldathletics.org/athletes/qatar/hashim-mohamed-salah-014423995,1994-04-15 00:00:00,"4x1500 Metres Relay, 1500 Metres, 3000 Metres Steeplechase"
Shafie Sharded YUSUF,15030862,https://worldathletics.org/athletes/qatar/shafie-sharded-yusuf-15030862,2005-10-14 00:00:00,"800 Metres, 1500 Metres, 3000 Metres"
Albaraa Fahad AL-MALKI,15204019,https://worldathletics.org/athletes/qatar/albaraa-fahad-al-malki-15204019,,Long Jump
Ammar ELABSY,14973859,https://worldathletics.org/athletes/qatar/ammar-elabsy-14973859,2004-10-10 00:00:00,"Hammer Throw, Hammer Throw (5kg), Hammer Throw (6kg)"
Gamal Abdelnasir ABUBAKER,14493456,https://worldathletics.org/athletes/qatar/gamal-abdelnasir-abubaker-014493456,1993-01-01 00:00:00,"4x400 Metres Relay, 400 Metres Hurdles, 400 Metres"
Brahim Hassan ABDOULKARIM,15143623,https://worldathletics.org/athletes/qatar/brahim-hassan-abdoulkarim-15143623,2007-10-05 00:00:00,Discus Throw (1.500kg)
Abdul Basit SEIDU,15172149,https://worldathletics.org/athletes/qatar/abdul-basit-seidu-15172149,2005-06-23 00:00:00,"60 Metres, Long Jump"
Yesyef Halefom BERHE,15140416,https://worldathletics.org/athletes/qatar/yesyef-halefom-berhe-15140416,2007-08-31 00:00:00,Discus Throw (1.500kg)
Mubarak Hassan SHAMI,14219104,https://worldathletics.org/athletes/qatar/mubarak-hassan-shami-014219104,1980-12-02 00:00:00,"Marathon, Half Marathon, 10 Kilometres"
Ibrahim Omar ABDI,14694178,https://worldathletics.org/athletes/qatar/ibrahim-omar-abdi-014694178,1996-04-16 00:00:00,"800 Metres, U20 Race"
Taha HASSAN,15140417,https://worldathletics.org/athletes/qatar/taha-hassan-15140417,2007-02-01 00:00:00,Javelin Throw (700g)
Sanar RIDHA,15042640,https://worldathletics.org/athletes/qatar/sanar-ridha-15042640,2003-05-26 00:00:00,"Pole Vault, Heptathlon"
Oumar Haroun ABDALLAH,15140394,https://worldathletics.org/athletes/qatar/oumar-haroun-abdallah-15140394,2007-01-30 00:00:00,Shot Put (5kg)
Mohamed Elnazir RAMADAN,14594917,https://worldathletics.org/athletes/qatar/mohamed-elnazir-ramadan-014594917,1996-07-07 00:00:00,"2000 Metres Steeplechase, U20 Race"
Ilyas LOURATE,15143627,https://worldathletics.org/athletes/qatar/ilyas-lourate-15143627,2005-05-25 00:00:00,800 Metres
Moustafa Ahmed SHEBTO,14219106,https://worldathletics.org/athletes/qatar/moustafa-ahmed-shebto-014219106,1986-07-04 00:00:00,"3000 Metres Steeplechase, Half Marathon, 3000 Metres"
Charles Bett KOECH,14219060,https://worldathletics.org/athletes/qatar/charles-bett-koech-014219060,1983-07-27 00:00:00,"10 Kilometres, 5000 Metres, 10,000 Metres"
Seifeldin Yousry SEIFELDIN,15198334,https://worldathletics.org/athletes/qatar/seifeldin-yousry-seifeldin-15198334,2007-09-30 00:00:00,60m Hurdles (99.0cm)
Dawood TET,15187627,https://worldathletics.org/athletes/qatar/dawood-tet-15187627,2009,High Jump
Mustafe MUHUMED,15140404,https://worldathletics.org/athletes/qatar/mustafe-muhumed-15140404,2005-02-10 00:00:00,1500 Metres
Ahmed JABER,14219050,https://worldathletics.org/athletes/qatar/ahmed-jaber-014219050,1983-12-29 00:00:00,"Half Marathon, Marathon, 10,000 Metres"
Sufiyan Ali NHIAL,15091212,https://worldathletics.org/athletes/qatar/sufiyan-ali-nhial-15091212,2004-10-20 00:00:00,"Long Jump, High Jump, Decathlon"
Abdulrahman AL DOSARI,14603265,https://worldathletics.org/athletes/qatar/abdulrahman-al-dosari-014603265,1997,"110m Hurdles (91.4cm), 110 Metres Hurdles, 4x100 Metres Relay"
